Genome	Accession	Taxonomy_ID	Length (nt)	Lenght (Kb)	 Protein	 RNA	Created	Updated	Grupo	Familia	# acceso descargados
    Alytes obstetricans pertinax	NC_006688	171366	17490	17.49	13	24	1/24/05	2/1/10	Anura	Alytidae	NC_006688
    Amolops loloensis voucher SM-ZDTW-01 / rufous-spotted torrent frog	NC_029250	318551	18926	18.926	13	24	2/12/16	3/2/16	Anura	Ranidae	NC_029250
    Amolops mantzorum	NC_024180	167930	17744	17.744	13	24	5/30/14	6/11/14	Anura	Ranidae	NC_024180
    Amolops ricketti / Chinese sucker frog	NC_023949	110104	17772	17.772	13	25	4/9/14	5/1/14	Anura	Ranidae	NC_023949
    Amolops tormotus / concave-eared torrent frog	NC_009423	448114	17962	17.962	13	24	5/1/07	7/17/12	Anura	Ranidae	NC_009423
    Amolops wuyiensis	NC_025591	120494	17797	17.797	13	24	11/14/14	12/15/14	Anura	Ranidae	NC_025591
    Atympanophrys shapingensis / Shaping frog	NC_018785	265032	17631	17.631	13	24	10/12/12	1/22/13	Anura	Megophryidae	NC_018785
    Babina adenopleura / olive frog	NC_018771	120495	18982	18.982	13	24	10/12/12	12/21/12	Anura	Ranidae	NC_018771
    Babina holsti mitochondrial DNA / dagger frog	NC_022870	658163	19113	19.113	13	24	11/19/13	12/18/13	Anura	Ranidae	NC_022870
    Babina okinavana mitochondrial DNA / Kampira Falls frog	NC_022872	156870	19959	19.959	13	24	11/19/13	12/18/13	Anura	Ranidae	NC_022872
    Babina subaspera mitochondrial DNA / Otton frog	NC_022871	872127	18525	18.525	13	24	11/19/13	12/18/13	Anura	Ranidae	NC_022871
    Bombina fortinuptialis / large-spined bell toad	NC_006402	414351	17575	17.575	13	24	11/9/04	1/9/13	Anura	Bombinatoridae	NC_006402
    Bombina lichuanensis voucher BL3589 / Lichuan bell toad	NC_021477	414352	18554	18.554	13	24	6/12/13	8/6/13	Anura	Bombinatoridae	NC_021477
    Bombina maxima / large-webbed bell toad	NC_011049	161274	18388	18.388	13	24	7/14/08	7/15/08	Anura	Bombinatoridae	NC_011049
    Bombina microdeladigitora voucher 1770 / Hubei firebelly toad	NC_021476	356193	18256	18.256	13	24	6/12/13	8/6/13	Anura	Bombinatoridae	NC_021476
    Bombina orientalis	NC_006689	8346	17847	17.847	13	24	1/24/05	2/1/10	Anura	Bombinatoridae	NC_006689
    Bombina variegata / yellow-bellied toad	NC_009258	8348	18551	18.551	13	24	3/30/07	4/3/07	Anura	Bombinatoridae	NC_009258
    Breviceps adspersus mitochondrial DNA / bushveld rain frog	NC_023379	1283716	28757	28.757	13	27	1/23/14	2/27/14	Anura	Brevicipitidae	NC_023379
    Buergeria buergeri / Buerger's frog	NC_008975	191197	19959	19.959	13	24	5/28/04	2/1/10	Anura	Rhacophoridae	NC_008975
    Bufo gargarizans / Asiatic toad	NC_008410	30331	17277	17.277	13	24	10/3/06	10/13/06	Anura	Bufonidae	NC_008410
    Bufo japonicus / Japanese toad	NC_009886	8387	17757	17.757	13	24	10/5/07	1/30/08	Anura	Bufonidae	NC_009886
    Bufo melanostictus / Asian common toad	NC_005794	30335	17374	17.374	13	24	3/12/04	1/8/08	Anura	Bufonidae	NC_005794
    Bufo stejnegeri voucher y-d20130012 / Korean water toad	NC_027686	113378	17939	17.939	13	24	8/4/15	8/17/15	Anura	Bufonidae	NC_027686
    Bufo tibetanus / Tibetan toad	NC_020048	103437	17405	17.405	13	24	12/31/12	5/24/13	Anura	Bufonidae	NC_020048
    Bufotes raddei / Mongolian toad	NC_028424	103435	17602	17.602	13	24	11/17/15	12/7/15	Anura	Bufonidae	NC_028424
    Calyptocephallela gayi / helmeted water toad	NC_019997	655848	17994	17.994	13	24	12/31/12	1/17/13	Anura	Calyptocephalellidae	NC_019997
    Discoglossus galganoi / Iberian painted frog	NC_006690	97956	17014	17.014	13	24	1/24/05	2/1/10	Anura	Alytidae	NC_006690
    Euphlyctis hexadactylus / Indian five-fingered frog	NC_014584	143416	20280	20.28	13	25	10/15/10	9/14/12	Anura	Dicroglossidae	NC_014584
    Fejervarya cancrivora / crab-eating frog	NC_012647	111367	17843	17.843	13	25	5/1/09	7/29/09	Anura	Dicroglossidae	NC_012647
    Fejervarya limnocharis / Boie's wart frog	NC_005055	110108	17717	17.717	13	25	8/5/03	2/1/10	Anura	Dicroglossidae	NC_005055
    Glandirana tientaiensis / Tientai rough-skinned frog	NC_025226	121168	17681	17.681	13	24	10/4/14	10/16/14	Anura	Ranidae	NC_025226
    Heleophryne regis / royal ghost frog	NC_019998	143568	17620	17.62	13	24	12/31/12	1/17/13	Anura	Heleophrynidae	NC_019998
    Hemisus marmoratus / mottled shovel-nosed frog	NC_023380	83971	20093	20.093	13	24	1/23/14	2/27/14	Anura	Hemisotidae	NC_023380
    Hoplobatrachus rugulosus / rugose frog	NC_019615	110072	20309	20.309	14	25	12/3/12	12/11/12	Anura	Dicroglossidae	NC_019615
    Hoplobatrachus tigerinus / Indus valley bullfrog	NC_014581	103373	20462	20.462	13	25	10/15/10	10/20/10	Anura	Dicroglossidae	NC_014581
    Hyla annectans / Assam treefrog	NC_025309	317325	17973	17.973	13	24	10/24/14	12/15/14	Anura	Hylidae	NC_025309
    Hyla chinensis / Chinese tree toad	NC_006403	167933	18180	18.18	13	24	11/9/04	2/1/10	Anura	Hylidae	NC_006403
    Hyla japonica / Japanese treefrog	NC_010232	109175	19519	19.519	13	24	1/9/08	1/16/08	Anura	Hylidae	NC_010232
    Hyla tsinlingensis voucher HTSIN20141129 / Tsinling tree toad	NC_026524	666683	18295	18.295	13	24	2/25/15	3/17/15	Anura	Hylidae	NC_026524
    Hyla ussuriensis voucher HRB1506014 / Northeast China tree toad	NC_029410	1088778	18023	18.023	13	24	3/1/16	3/1/16	Anura	Hylidae	NC_029410
    Hylarana guentheri	NC_024748	110109	19053	19.053	13	24	8/26/14	8/29/14	Anura	Ranidae	NC_024748
    Hymenochirus boettgeri / Congo dwarf clawed frog	NC_015615	247094	18007	18.007	13	24	6/1/11	6/3/11	Anura	Pipidae	NC_015615
    Hyperolius marmoratus / marbled rush frog	NC_023381	476017	22595	22.595	13	24	1/23/14	7/13/15	Anura	Hyperoliidae	NC_023381
    Kaloula borealis / Manchurian narrowmouth toad	NC_020044	113380	17174	17.174	13	24	12/31/12	12/31/12	Anura	Microhylidae	NC_020044
    Kaloula pulchra / Malaysian narrowmouth toad	NC_006405	167934	16818	16.818	13	24	11/9/04	2/1/10	Anura	Microhylidae	NC_006405
    Kaloula rugifera / Szechuan narrowmouth toad	NC_029409	1231732	17074	17.074	13	24	3/1/16	3/1/16	Anura	Microhylidae	NC_029409
    Lechriodus melanopyga / Wokan cannibal frog	NC_019999	288789	19205	19.205	13	24	12/31/12	1/17/13	Anura	Myobatrachidae	NC_019999
    Leiopelma archeyi / Coromandel frog	NC_014691	118230	16593	16.593	13	24	11/18/10	12/6/10	Anura	Leiopelmatidae	NC_014691
    Leiopelma hochstetteri	NC_027072	51644	17175	17.175	13	24	5/14/15	8/4/15	Anura	Leiopelmatidae	NC_027072
    Leptobrachium boringii voucher SCUM120630 / Emei moustache toad	NC_024427	265040	17085	17.085	13	25	6/24/14	7/2/14	Anura	Megophryidae	NC_024427
    Leptolalax oshanensis	NC_020610	265047	17747	17.747	13	24	3/25/13	2/28/14	Anura	Megophryidae	NC_020610
    Limnonectes bannaensis / large-headed frog	NC_012837	613120	16867	16.867	13	21	6/19/09	10/27/09	Anura	Dicroglossidae	NC_012837
    Limnonectes fujianensis / Fujian large-headed frog	NC_007440	120496	17654	17.654	13	24	10/5/05	2/1/10	Anura	Dicroglossidae	NC_007440
    Mantella madagascariensis / Madagascar golden frog	NC_007888	111290	22874	22.874	13	25	3/8/06	2/1/10	Anura	Mantellidae	NC_007888
    Microhyla heymonsi / Taiwan rice frog	NC_006406	143525	16707	16.707	13	24	11/9/04	2/1/10	Anura	Microhylidae	NC_006406
    Microhyla okinavensis / Okinawa rice frog	NC_010233	387933	16717	16.717	13	24	1/9/08	1/16/08	Anura	Microhylidae	NC_010233
    Microhyla ornata / ornate rice frog	NC_009422	143526	16730	16.73	13	24	5/1/07	8/27/07	Anura	Microhylidae	NC_009422
    Microhyla pulchra	NC_024547	143527	16744	16.744	13	24	7/28/14	8/28/14	Anura	Microhylidae	NC_024547
    Nanorana parkeri	NC_026789	125878	17837	17.837	13	25	4/4/15	4/22/15	Anura	Dicroglossidae	NC_026789
    Nanorana pleskei / Tibetan frog	NC_016119	120498	17660	17.66	13	25	10/21/11	11/16/11	Anura	Dicroglossidae	NC_016119
    Nanorana taihangnica / Taihangshan swelled-vented frog	NC_024272	586025	17412	17.412	13	24	6/11/14	7/2/14	Anura	Dicroglossidae	NC_024272
    Occidozyga martensii / round-tongued floating frog	NC_014685	146711	18321	18.321	13	25	11/18/10	12/6/10	Anura	Dicroglossidae	NC_014685
    Odorrana margaretae / green odorous frog	NC_024603	121156	17903	17.903	13	24	7/28/14	8/28/14	Anura	Ranidae	NC_024603
    Odorrana schmackeri / piebald odorous frog	NC_027827	110116	18302	18.302	13	23	9/14/15	10/6/15	Anura	Ranidae	NC_027827
    Pelobates cultripes / western spadefoot toad	NC_008144	61616	17384	17.384	13	24	6/12/06	6/15/06	Anura	Pelobatidae	NC_008144
    Pelodytes cf. punctatus II-2011	NC_020000	1005956	18905	18.905	13	24	12/31/12	7/10/13	Anura	Pelodytidae	NC_020000
    Pelophylax bedriagae isolate GM-J0142 / Levant water frog	NC_029200	69489	17968	17.968	13	24	2/12/16	3/2/16	Anura	Ranidae	NC_029200
    Pelophylax cf. bedriagae AFL1	NC_029196	1680883	17977	17.977	13	24	2/12/16	3/2/16	Anura	Ranidae	NC_029196
    Pelophylax cf. bedriagae GM178	NC_029201	1680885	17932	17.932	13	24	2/12/16	3/2/16	Anura	Ranidae	NC_029201
    Pelophylax cf. bedriagae MPFC1082	NC_029197	1680884	17975	17.975	13	24	2/12/16	3/2/16	Anura	Ranidae	NC_029197
    Pelophylax cf. terentievi GM87-239	NC_029198	1680880	17987	17.987	13	24	2/12/16	3/2/16	Anura	Ranidae	NC_029198
    Pelophylax cf. terentievi MPFC1736	NC_029199	1680881	17990	17.99	13	24	2/12/16	3/2/16	Anura	Ranidae	NC_029199
    Pelophylax cretensis isolate CR03 / Greek marsh frog	NC_025575	143642	17829	17.829	13	24	11/14/14	12/15/14	Anura	Ranidae	NC_025575
    Pelophylax cypriensis isolate GM157-11	NC_026893	1604133	18023	18.023	13	24	4/22/15	6/2/15	Anura	Ranidae	NC_026893
    Pelophylax epeiroticus isolate MPFC1392 / Epirus pool frog	NC_026894	70701	18030	18.03	13	24	4/22/15	6/2/15	Anura	Ranidae	NC_026894
    Pelophylax kurtmuelleri isolate MPFC1475 / Balkan frog	NC_026895	73493	18020	18.02	13	24	4/22/15	6/2/15	Anura	Ranidae	NC_026895
