Genome	Taxonomy_names_NCBI	Accession	Taxonomy_ID	Length (nt)	Lenght (Kb)	 Protein	 RNA	Created	Updated	Group	Family
    Alytes obstetricans pertinax	Alytes obstetricans pertinax	NC_006688	171366	17490	17.49	13	24	1/24/05	2/1/10	Anura	Alytidae
    Amolops loloensis voucher SM-ZDTW-01 / rufous-spotted torrent frog	Amolops loloensis	NC_029250	318551	18926	18.926	13	24	2/12/16	3/2/16	Anura	Ranidae
    Amolops mantzorum	Amolops mantzorum	NC_024180	167930	17744	17.744	13	24	5/30/14	6/11/14	Anura	Ranidae
    Amolops ricketti / Chinese sucker frog	Amolops ricketti	NC_023949	110104	17772	17.772	13	25	4/9/14	5/1/14	Anura	Ranidae
    Amolops tormotus / concave-eared torrent frog	Odorrana tormota	NC_009423	448114	17962	17.962	13	24	5/1/07	7/17/12	Anura	Ranidae
    Amolops wuyiensis	Amolops wuyiensis	NC_025591	120494	17797	17.797	13	24	11/14/14	12/15/14	Anura	Ranidae
    Atympanophrys shapingensis / Shaping frog	Atympanophrys shapingensis	NC_018785	265032	17631	17.631	13	24	10/12/12	1/22/13	Anura	Megophryidae
    Babina adenopleura / olive frog	Babina adenopleura	NC_018771	120495	18982	18.982	13	24	10/12/12	12/21/12	Anura	Ranidae
    Babina holsti mitochondrial DNA / dagger frog	Babina holsti	NC_022870	658163	19113	19.113	13	24	11/19/13	12/18/13	Anura	Ranidae
    Babina okinavana mitochondrial DNA / Kampira Falls frog	Babina okinavana	NC_022872	156870	19959	19.959	13	24	11/19/13	12/18/13	Anura	Ranidae
    Babina subaspera mitochondrial DNA / Otton frog	Babina subaspera	NC_022871	872127	18525	18.525	13	24	11/19/13	12/18/13	Anura	Ranidae
    Bombina fortinuptialis / large-spined bell toad	Bombina fortinuptialis	NC_006402	414351	17575	17.575	13	24	11/9/04	1/9/13	Anura	Bombinatoridae
    Bombina lichuanensis voucher BL3589 / Lichuan bell toad	Bombina lichuanensis	NC_021477	414352	18554	18.554	13	24	6/12/13	8/6/13	Anura	Bombinatoridae
    Bombina maxima / large-webbed bell toad	Bombina maxima	NC_011049	161274	18388	18.388	13	24	7/14/08	7/15/08	Anura	Bombinatoridae
    Bombina microdeladigitora voucher 1770 / Hubei firebelly toad	Bombina microdeladigitora	NC_021476	356193	18256	18.256	13	24	6/12/13	8/6/13	Anura	Bombinatoridae
    Bombina orientalis	Bombina orientalis	NC_006689	8346	17847	17.847	13	24	1/24/05	2/1/10	Anura	Bombinatoridae
    Bombina variegata / yellow-bellied toad	Bombina variegata	NC_009258	8348	18551	18.551	13	24	3/30/07	4/3/07	Anura	Bombinatoridae
    Breviceps adspersus mitochondrial DNA / bushveld rain frog	Breviceps adspersus	NC_023379	1283716	28757	28.757	13	27	1/23/14	2/27/14	Anura	Brevicipitidae
    Buergeria buergeri / Buerger's frog	Buergeria buergeri	NC_008975	191197	19959	19.959	13	24	5/28/04	2/1/10	Anura	Rhacophoridae
    Bufo gargarizans / Asiatic toad	Bufo gargarizans	NC_008410	30331	17277	17.277	13	24	10/3/06	10/13/06	Anura	Bufonidae
    Bufo japonicus / Japanese toad	Bufo japonicus	NC_009886	8387	17757	17.757	13	24	10/5/07	1/30/08	Anura	Bufonidae
    Bufo melanostictus / Asian common toad	Duttaphrynus melanostictus	NC_005794	30335	17374	17.374	13	24	3/12/04	1/8/08	Anura	Bufonidae
    Bufo stejnegeri voucher y-d20130012 / Korean water toad	Bufo stejnegeri	NC_027686	113378	17939	17.939	13	24	8/4/15	8/17/15	Anura	Bufonidae
    Bufo tibetanus / Tibetan toad	Bufo tibetanus	NC_020048	103437	17405	17.405	13	24	12/31/12	5/24/13	Anura	Bufonidae
    Bufotes raddei / Mongolian toad	Bufotes raddei	NC_028424	103435	17602	17.602	13	24	11/17/15	12/7/15	Anura	Bufonidae
    Calyptocephallela gayi / helmeted water toad	Calyptocephallela gayi	NC_019997	655848	17994	17.994	13	24	12/31/12	1/17/13	Anura	Calyptocephalellidae
    Discoglossus galganoi / Iberian painted frog	Discoglossus galganoi	NC_006690	97956	17014	17.014	13	24	1/24/05	2/1/10	Anura	Alytidae
    Euphlyctis hexadactylus / Indian five-fingered frog	Euphlyctis hexadactylus	NC_014584	143416	20280	20.28	13	25	10/15/10	9/14/12	Anura	Dicroglossidae
    Fejervarya cancrivora / crab-eating frog	Fejervarya cancrivora	NC_012647	111367	17843	17.843	13	25	5/1/09	7/29/09	Anura	Dicroglossidae
    Fejervarya limnocharis / Boie's wart frog	Fejervarya limnocharis	NC_005055	110108	17717	17.717	13	25	8/5/03	2/1/10	Anura	Dicroglossidae
